date,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2011-09,15.9545,11487.24,4.916956132384,29.944499999999977,24.3405,16.326666666666668,33.4,5.3,1.4927777777777778,74.67777777777778,14.006868279569893,12.543306451612903,13.19323611111111
2011-10,19.42954301075269,14455.58,3.7686298913405265,29.686000000000043,25.839500000000005,19.504301075268817,33.5,10.2,1.6352150537634407,73.43010752688173,15.9545,14.006868279569893,12.543306451612903
2011-11,21.536208333333335,15506.07,4.668268099597735,34.0681,30.1925,21.49888888888889,34.3,12.1,1.8483333333333332,67.84166666666667,19.42954301075269,15.9545,14.006868279569893
2011-12,22.722110215053764,16905.25,4.301928389617557,33.846800000000016,31.0285,22.528091397849465,35.4,14.9,1.7405913978494623,68.90994623655914,21.536208333333335,19.42954301075269,15.9545
2012-01,24.99650537634409,18597.4,4.729036521879891,37.10540000000001,33.9495,24.289247311827957,35.5,17.4,1.7530913978494622,71.51478494623656,22.722110215053764,21.536208333333335,19.42954301075269
2012-02,27.55373563218391,19177.4,4.984807174980361,39.26199999999998,37.144999999999996,26.22298850574713,38.4,18.1,1.389080459770115,71.86494252873563,24.99650537634409,22.722110215053764,21.536208333333335
2012-03,23.645994623655913,17592.62,5.374963177310217,36.6157,34.65350000000001,23.15215053763441,36.1,10.2,1.2643817204301075,70.75268817204301,27.55373563218391,24.99650537634409,22.722110215053764
2012-04,19.62251388888889,14128.21,4.729342041683353,29.678599999999996,27.90099999999999,19.628888888888888,32.9,8.7,1.1925000000000001,74.95138888888889,23.645994623655913,27.55373563218391,24.99650537634409
2012-05,18.490752688172044,13757.12,4.576490450464857,28.161200000000008,26.024,18.54220430107527,29.6,7.5,0.9870967741935484,76.81854838709677,19.62251388888889,23.645994623655913,27.55373563218391
2012-06,14.270458333333332,10274.73,5.740108302316488,28.442399999999996,24.65249999999998,14.65111111111111,29.3,1.1,0.9216666666666667,77.75694444444444,18.490752688172044,19.62251388888889,23.645994623655913
2012-07,12.547889784946236,9335.63,5.246953020430368,28.35550000000001,22.770500000000002,13.161424731182796,30.2,3.1,1.2404569892473118,77.11693548387096,14.270458333333332,18.490752688172044,19.62251388888889
2012-08,18.773091397849463,13967.18,5.4985197432709025,30.259900000000002,28.507,18.946236559139784,32.7,7.3,1.1780913978494623,72.61559139784946,12.547889784946236,14.270458333333332,18.490752688172044
2012-09,17.61265277777778,12681.11,4.389210572314183,28.46769999999999,25.265999999999995,17.815555555555555,31.4,7.5,1.8086111111111112,74.52638888888889,18.773091397849463,12.547889784946236,14.270458333333332
2012-10,21.057768817204302,15666.98,4.15111207857344,32.58,29.1455,20.837096774193547,33.0,12.8,1.7114247311827957,75.54569892473118,17.61265277777778,18.773091397849463,12.547889784946236
2012-11,23.08286111111111,16619.66,4.5679645062473195,34.25739999999997,30.967499999999994,22.87722222222222,34.4,13.7,1.7294444444444446,68.2375,21.057768817204302,17.61265277777778,18.773091397849463
